who,,shpfile,,,,,,,,,,,,,,,,,,,
afgooye,afgoi,,,,,,,,,,,,,,,,,,,,
badhan,,badan,,,,,,,,,,,,,,,,,,,
badhan,,,,,,,,,,,,,,,,,,,,,
baligubadle,bgubadle,brava,,,,,,,,,,,,,,,,,,,
barawe,,buaale,,,,,,,,,,,,,,,,,,,
bocame,,,,,,,,,,,,,,,,,,,,,
carmo,,elbur,,,,,,,,,,,,,1,2,34,5,6,7,8
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,sakow,NA,SOM,NA,in shpfile but not WHO,43959,#N/A
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wardegly,NA,SOM,NA,in shpfile but not WHO,44105,#N/A
