,NAME.who_adm1,NAME.who,NAME.shpfile,Country,iso3,who_coverage,merge_status,field_name,location_code,shapefile
116,easternprovince,meru,meru,Kenya,KEN,68.85992291,success,GAUL_CODE,26118,gadm_36_ad1
117,nyanzaprovince,migori,migori,Kenya,KEN,66.90167936,success,GAUL_CODE,27118,gadm_36_ad1
118,coastprovince,mombasa,mombasa,Kenya,KEN,83.73686147,success,GAUL_CODE,28118,gadm_36_ad1
119,centralprovince,muranga,muranga,Kenya,KEN,69.2226406,success,GAUL_CODE,29118,gadm_36_ad1
120,nairobi,nairobi,nairobi,Kenya,KEN,84.51827688,success,GAUL_CODE,30118,gadm_36_ad1
121,riftvalleyprovince,nakuru,nakuru,Kenya,KEN,80.94712949,success,GAUL_CODE,31118,gadm_36_ad1
122,riftvalleyprovince,nandi,nandi,Kenya,KEN,60.26945457,success,GAUL_CODE,32118,gadm_36_ad1
123,riftvalleyprovince,narok,narok,Kenya,KEN,59.48198967,success,GAUL_CODE,33118,gadm_36_ad1
124,nyanzaprovince,nyamira,nyamira,Kenya,KEN,63.32361983,success,GAUL_CODE,34118,gadm_36_ad1
125,centralprovince,nyandarua,nyandarua,Kenya,KEN,64.31598783,success,GAUL_CODE,35118,gadm_36_ad1
126,centralprovince,nyeri,nyeri,Kenya,KEN,75.58353682,success,GAUL_CODE,36118,gadm_36_ad1
127,riftvalleyprovince,samburu,samburu,Kenya,KEN,56.20727041,success,GAUL_CODE,37118,gadm_36_ad1
128,nyanzaprovince,siaya,siaya,Kenya,KEN,58.68993895,success,GAUL_CODE,38118,gadm_36_ad1
129,coastprovince,taitataveta,taitataveta,Kenya,KEN,60.0835332,success,GAUL_CODE,39118,gadm_36_ad1
130,coastprovince,tanariver,tanariver,Kenya,KEN,47.99100758,success,GAUL_CODE,40118,gadm_36_ad1
131,easternprovince,tharakanithi,tharakanithi,Kenya,KEN,64.41574711,success,GAUL_CODE,41118,gadm_36_ad1
132,riftvalleyprovince,transnzoia,transnzoia,Kenya,KEN,46.07747266,success,GAUL_CODE,42118,gadm_36_ad1
133,riftvalleyprovince,turkana,turkana,Kenya,KEN,98.71564599,success,GAUL_CODE,43118,gadm_36_ad1
134,riftvalleyprovince,uasingishu,uasingishu,Kenya,KEN,80.28038495,success,GAUL_CODE,44118,gadm_36_ad1
135,westernprovince,vihiga,vihiga,Kenya,KEN,58.49763294,success,GAUL_CODE,45118,gadm_36_ad1
136,northeasternprovince,wajir,wajir,Kenya,KEN,153.8742325,success,GAUL_CODE,46118,gadm_36_ad1
137,riftvalleyprovince,westpokot,westpokot,Kenya,KEN,50.72526493,success,GAUL_CODE,47118,gadm_36_ad1
184,south,balaka,balaka,Malawi,MWI,88,success,GAUL_CODE,1157,gadm_36_ad1
185,south,blantyre,blantyre,Malawi,MWI,94,success,GAUL_CODE,2157,gadm_36_ad1
186,south,chikwawa,chikwawa,Malawi,MWI,96,success,GAUL_CODE,3157,gadm_36_ad1
187,south,chiradzulu,chiradzulu,Malawi,MWI,103,success,GAUL_CODE,4157,gadm_36_ad1
188,north,chitipa,chitipa,Malawi,MWI,74,success,GAUL_CODE,5157,gadm_36_ad1
189,central,dedza,dedza,Malawi,MWI,103,success,GAUL_CODE,6157,gadm_36_ad1
190,central,dowa,dowa,Malawi,MWI,71,success,GAUL_CODE,7157,gadm_36_ad1
191,north,karonga,karonga,Malawi,MWI,86,success,GAUL_CODE,8157,gadm_36_ad1
192,central,kasungu,kasungu,Malawi,MWI,78,success,GAUL_CODE,9157,gadm_36_ad1
193,north,likoma,likoma,Malawi,MWI,99,success,GAUL_CODE,10157,gadm_36_ad1
194,central,lilongwe,lilongwe,Malawi,MWI,88,success,GAUL_CODE,11157,gadm_36_ad1
195,south,machinga,machinga,Malawi,MWI,94,success,GAUL_CODE,12157,gadm_36_ad1
196,south,mangochi,mangochi,Malawi,MWI,84,success,GAUL_CODE,13157,gadm_36_ad1
197,central,mchinji,mchinji,Malawi,MWI,74,success,GAUL_CODE,14157,gadm_36_ad1
198,south,mulanje,mulanje,Malawi,MWI,101,success,GAUL_CODE,15157,gadm_36_ad1
199,south,mwanza,mwanza,Malawi,MWI,109,success,GAUL_CODE,16157,gadm_36_ad1
200,north,mzimba,mzimba,Malawi,MWI,82,success,GAUL_CODE,17157,gadm_36_ad1
201,south,neno,neno,Malawi,MWI,79,success,GAUL_CODE,18157,gadm_36_ad1
202,north,nkhatabay,nkhatabay,Malawi,MWI,83,success,GAUL_CODE,19157,gadm_36_ad1
203,central,nkhotakota,nkhotakota,Malawi,MWI,98,success,GAUL_CODE,20157,gadm_36_ad1
204,south,nsanje,nsanje,Malawi,MWI,107,success,GAUL_CODE,21157,gadm_36_ad1
205,central,ntcheu,ntcheu,Malawi,MWI,95,success,GAUL_CODE,22157,gadm_36_ad1
206,central,ntchisi,ntchisi,Malawi,MWI,77,success,GAUL_CODE,23157,gadm_36_ad1
207,south,phalombe,phalombe,Malawi,MWI,95,success,GAUL_CODE,24157,gadm_36_ad1
208,north,rumphi,rumphi,Malawi,MWI,77,success,GAUL_CODE,25157,gadm_36_ad1
209,central,salima,salima,Malawi,MWI,92,success,GAUL_CODE,26157,gadm_36_ad1
210,south,thyolo,thyolo,Malawi,MWI,91,success,GAUL_CODE,27157,gadm_36_ad1
211,south,zomba,zomba,Malawi,MWI,80,success,GAUL_CODE,28157,gadm_36_ad1
340,khulna,bagerhat,bagerhat,Bangladesh,BGD,100.3154037,success,GAUL_CODE,1004023,gadm_36_ad2
341,chittagong,bandarban,bandarban,Bangladesh,BGD,109.9503257,success,GAUL_CODE,1002023,gadm_36_ad2
342,barisal,barguna,barguna,Bangladesh,BGD,112.5697874,success,GAUL_CODE,1001023,gadm_36_ad2
343,barisal,barisal,barisal,Bangladesh,BGD,129.9507354,success,GAUL_CODE,2001023,gadm_36_ad2
344,barisal,bhola,bhola,Bangladesh,BGD,125.3575897,success,GAUL_CODE,3001023,gadm_36_ad2
345,rajshahi,bogra,bogra,Bangladesh,BGD,102.8877642,success,GAUL_CODE,1005023,gadm_36_ad2
346,chittagong,chandpur,chandpur,Bangladesh,BGD,114.3300669,success,GAUL_CODE,3002023,gadm_36_ad2
347,chittagong,chittagong,chittagong,Bangladesh,BGD,132.4466035,success,GAUL_CODE,4002023,gadm_36_ad2
348,khulna,chuadanga,chuadanga,Bangladesh,BGD,100.8731205,success,GAUL_CODE,2004023,gadm_36_ad2
349,chittagong,comilla,comilla,Bangladesh,BGD,138.0593364,success,GAUL_CODE,5002023,gadm_36_ad2
350,chittagong,coxsbazar,coxsbazar,Bangladesh,BGD,120.8911476,success,GAUL_CODE,6002023,gadm_36_ad2
351,dhaka,dhaka,dhaka,Bangladesh,BGD,104.0430069,success,GAUL_CODE,1003023,gadm_36_ad2
352,rangpur,dinajpur,dinajpur,Bangladesh,BGD,100.397017,success,GAUL_CODE,1006023,gadm_36_ad2
353,dhaka,faridpur,faridpur,Bangladesh,BGD,120.3034756,success,GAUL_CODE,2003023,gadm_36_ad2
354,chittagong,feni,feni,Bangladesh,BGD,117.7923004,success,GAUL_CODE,7002023,gadm_36_ad2
355,rangpur,gaibandha,gaibandha,Bangladesh,BGD,110.0505261,success,GAUL_CODE,2006023,gadm_36_ad2
356,dhaka,gazipur,gazipur,Bangladesh,BGD,160.337297,success,GAUL_CODE,3003023,gadm_36_ad2
357,dhaka,gopalganj,gopalganj,Bangladesh,BGD,109.9554591,success,GAUL_CODE,4003023,gadm_36_ad2
358,sylhet,habiganj,habiganj,Bangladesh,BGD,108.713333,success,GAUL_CODE,1007023,gadm_36_ad2
359,dhaka,jamalpur,jamalpur,Bangladesh,BGD,118.6211756,success,GAUL_CODE,5003023,gadm_36_ad2
360,khulna,jessore,jessore,Bangladesh,BGD,101.5544057,success,GAUL_CODE,3004023,gadm_36_ad2
361,khulna,jhenaidah,jhenaidah,Bangladesh,BGD,104.4386077,success,GAUL_CODE,4004023,gadm_36_ad2
362,rajshahi,joypurhat,joypurhat,Bangladesh,BGD,101.3857465,success,GAUL_CODE,2005023,gadm_36_ad2
363,khulna,khulna,khulna,Bangladesh,BGD,94.86394047,success,GAUL_CODE,5004023,gadm_36_ad2
364,dhaka,kishoreganj,kishoreganj,Bangladesh,BGD,122.6723028,success,GAUL_CODE,6003023,gadm_36_ad2
365,rangpur,kurigram,kurigram,Bangladesh,BGD,118.9273344,success,GAUL_CODE,3006023,gadm_36_ad2
366,khulna,kushtia,kushtia,Bangladesh,BGD,120.8226819,success,GAUL_CODE,6004023,gadm_36_ad2
367,chittagong,lakshmipur,lakshmipur,Bangladesh,BGD,131.0795336,success,GAUL_CODE,9002023,gadm_36_ad2
368,rangpur,lalmonirhat,lalmonirhat,Bangladesh,BGD,119.1472972,success,GAUL_CODE,4006023,gadm_36_ad2
369,dhaka,madaripur,madaripur,Bangladesh,BGD,128.4063363,success,GAUL_CODE,7003023,gadm_36_ad2
370,khulna,magura,magura,Bangladesh,BGD,108.7641675,success,GAUL_CODE,7004023,gadm_36_ad2
371,dhaka,manikganj,manikganj,Bangladesh,BGD,125.0609801,success,GAUL_CODE,8003023,gadm_36_ad2
372,khulna,meherpur,meherpur,Bangladesh,BGD,92.37402794,success,GAUL_CODE,8004023,gadm_36_ad2
373,dhaka,munshiganj,munshiganj,Bangladesh,BGD,111.9782028,success,GAUL_CODE,9003023,gadm_36_ad2
374,dhaka,mymensingh,mymensingh,Bangladesh,BGD,115.736581,success,GAUL_CODE,10003023,gadm_36_ad2
375,khulna,narail,narail,Bangladesh,BGD,98.74778861,success,GAUL_CODE,9004023,gadm_36_ad2
376,dhaka,narayanganj,narayanganj,Bangladesh,BGD,132.5607396,success,GAUL_CODE,11003023,gadm_36_ad2
377,rajshahi,natore,natore,Bangladesh,BGD,109.5764194,success,GAUL_CODE,4005023,gadm_36_ad2
378,rangpur,nilphamari,nilphamari,Bangladesh,BGD,101.9605028,success,GAUL_CODE,5006023,gadm_36_ad2
379,chittagong,noakhali,noakhali,Bangladesh,BGD,126.0980013,success,GAUL_CODE,10002023,gadm_36_ad2
380,rajshahi,pabna,pabna,Bangladesh,BGD,121.75095,success,GAUL_CODE,6005023,gadm_36_ad2
381,barisal,patuakhali,patuakhali,Bangladesh,BGD,123.4478412,success,GAUL_CODE,5001023,gadm_36_ad2
382,dhaka,rajbari,rajbari,Bangladesh,BGD,107.7273416,success,GAUL_CODE,14003023,gadm_36_ad2
383,rajshahi,rajshahi,rajshahi,Bangladesh,BGD,103.5851792,success,GAUL_CODE,7005023,gadm_36_ad2
384,chittagong,rangamati,rangamati,Bangladesh,BGD,116.9712375,success,GAUL_CODE,11002023,gadm_36_ad2
385,rangpur,rangpur,rangpur,Bangladesh,BGD,114.4738262,success,GAUL_CODE,7006023,gadm_36_ad2
386,khulna,satkhira,satkhira,Bangladesh,BGD,109.7397051,success,GAUL_CODE,10004023,gadm_36_ad2
387,dhaka,sherpur,sherpur,Bangladesh,BGD,116.6289505,success,GAUL_CODE,16003023,gadm_36_ad2
388,rajshahi,sirajganj,sirajganj,Bangladesh,BGD,128.1190411,success,GAUL_CODE,8005023,gadm_36_ad2
389,sylhet,sunamganj,sunamganj,Bangladesh,BGD,95.34706288,success,GAUL_CODE,3007023,gadm_36_ad2
390,sylhet,sylhet,sylhet,Bangladesh,BGD,109.7685072,success,GAUL_CODE,4007023,gadm_36_ad2
391,dhaka,tangail,tangail,Bangladesh,BGD,112.5738007,success,GAUL_CODE,17003023,gadm_36_ad2
392,chittagong,brahmanbaria,brahamanbaria,Bangladesh,BGD,119.6464044,fuzzy success,GAUL_CODE,2002023,gadm_36_ad2
393,barisal,jhalakati,jhalokati,Bangladesh,BGD,103.6306887,fuzzy success,GAUL_CODE,4001023,gadm_36_ad2
394,chittagong,khagrachari,khagrachhari,Bangladesh,BGD,125.9393167,fuzzy success,GAUL_CODE,8002023,gadm_36_ad2
395,sylhet,moulvibazar,maulvibazar,Bangladesh,BGD,98.7327559,fuzzy success,GAUL_CODE,2007023,gadm_36_ad2
396,dhaka,narsingdhi,narsingdi,Bangladesh,BGD,123.1898759,fuzzy success,GAUL_CODE,12003023,gadm_36_ad2
397,dhaka,netrokona,netrakona,Bangladesh,BGD,114.6400341,fuzzy success,GAUL_CODE,13003023,gadm_36_ad2
398,rajshahi,noagoan,naogaon,Bangladesh,BGD,103.1099012,fuzzy success,GAUL_CODE,3005023,gadm_36_ad2
399,rajshahi,nowabganj,nawabganj,Bangladesh,BGD,105.9947717,fuzzy success,GAUL_CODE,5005023,gadm_36_ad2
400,rangpur,panchagharh,panchagarh,Bangladesh,BGD,105.3361101,fuzzy success,GAUL_CODE,6006023,gadm_36_ad2
401,barisal,perojpur,pirojpur,Bangladesh,BGD,109.8640631,fuzzy success,GAUL_CODE,6001023,gadm_36_ad2
402,dhaka,sariatpur,shariatpur,Bangladesh,BGD,109.4238155,fuzzy success,GAUL_CODE,15003023,gadm_36_ad2
403,rangpur,thakurgoan,thakurgaon,Bangladesh,BGD,102.2869165,fuzzy success,GAUL_CODE,8006023,gadm_36_ad2
404,brava,brava,brava,Cape Verde,CPV,134.2857143,success,GAUL_CODE,2002052,gadm_36_ad2
405,maio,maio,maio,Cape Verde,CPV,77.77777778,success,GAUL_CODE,3003052,gadm_36_ad2
406,mosteiros,mosteiros,mosteiros,Cape Verde,CPV,106.9518717,success,GAUL_CODE,4004052,gadm_36_ad2
407,praia,praia,praia,Cape Verde,CPV,99.53850591,success,GAUL_CODE,7007052,gadm_36_ad2
408,sal,sal,sal,Cape Verde,CPV,84.3,success,GAUL_CODE,11011052,gadm_36_ad2
409,tarrafal,tarrafal,tarrafal,Cape Verde,CPV,91.83098592,success,GAUL_CODE,21021052,gadm_36_ad2
410,bvista,bvista,boavista,Cape Verde,CPV,90.5,fuzzy success,GAUL_CODE,1001052,gadm_36_ad2
411,paul,paul,pal,Cape Verde,CPV,83.5443038,fuzzy success,GAUL_CODE,5005052,gadm_36_ad2
412,sdomingos,sdomingos,suodomingos,Cape Verde,CPV,87.09677419,fuzzy success,GAUL_CODE,15015052,gadm_36_ad2
413,sfilipe,sfilipe,suofilipe,Cape Verde,CPV,118.3673469,fuzzy success,GAUL_CODE,16016052,gadm_36_ad2
414,smiguel,smiguel,suomiguel,Cape Verde,CPV,108.0291971,fuzzy success,GAUL_CODE,18018052,gadm_36_ad2
415,svicente,svicente,suovicente,Cape Verde,CPV,86.02305476,fuzzy success,GAUL_CODE,20020052,gadm_36_ad2
416,pnovo,pnovo,portonovo,Cape Verde,CPV,88.03986711,fuzzy success,GAUL_CODE,6006052,gadm_36_ad2
417,rbravasn,rbravasn,ribeirabrava,Cape Verde,CPV,100.9615385,fuzzy success,GAUL_CODE,8008052,gadm_36_ad2
418,rgrande,rgrande,ribeiragrande,Cape Verde,CPV,93.80530973,fuzzy success,GAUL_CODE,9009052,gadm_36_ad2
419,rgsantiago,rgsantiago,ribeiragrandedesantiago,Cape Verde,CPV,84.17721519,fuzzy success,GAUL_CODE,10010052,gadm_36_ad2
420,scatarina,scatarina,santacatarina,Cape Verde,CPV,94.85213582,fuzzy success,GAUL_CODE,12012052,gadm_36_ad2
421,scdefogo,scdefogo,santacatarinadofogo,Cape Verde,CPV,75.89285714,fuzzy success,GAUL_CODE,13013052,gadm_36_ad2
422,scruz,scruz,santacruz,Cape Verde,CPV,101.7045455,fuzzy success,GAUL_CODE,14014052,gadm_36_ad2
423,slorgaos,slorgaos,suolourenodosorguos,Cape Verde,CPV,127.0491803,fuzzy success,GAUL_CODE,17017052,gadm_36_ad2
424,ssmundo,ssmundo,suosalvadordomundo,Cape Verde,CPV,87.35632184,fuzzy success,GAUL_CODE,19019052,gadm_36_ad2
425,tarrafalsn,tarrafalsn,tarrafaldesuonicolau,Cape Verde,CPV,102.0833333,fuzzy success,GAUL_CODE,22022052,gadm_36_ad2
426,guanacaste,abangares,abangares,Costa Rica,CRI,98.34983498,success,GAUL_CODE,1003053,gadm_36_ad2
427,sanjose,acosta,acosta,Costa Rica,CRI,102.919708,success,GAUL_CODE,1007053,gadm_36_ad2
428,santiagodelestero,aguirre,aguirre,Costa Rica,CRI,88,success,GAUL_CODE,1006053,gadm_36_ad2
429,alajuela,alajuela,alajuela,Costa Rica,CRI,90.07059895,success,GAUL_CODE,1001053,gadm_36_ad2
430,sanjose,alajuelita,alajuelita,Costa Rica,CRI,89.94515539,success,GAUL_CODE,2007053,gadm_36_ad2
431,alajuela,alfaroruiz,alfaroruiz,Costa Rica,CRI,100.4273504,success,GAUL_CODE,2001053,gadm_36_ad2
432,tolima,alvarado,alvarado,Costa Rica,CRI,95.1754386,success,GAUL_CODE,1002053,gadm_36_ad2
433,alajuela,atenas,atenas,Costa Rica,CRI,106.6066066,success,GAUL_CODE,3001053,gadm_36_ad2
434,guanacaste,bagaces,bagaces,Costa Rica,CRI,89.88764045,success,GAUL_CODE,2003053,gadm_36_ad2
435,heredia,barva,barva,Costa Rica,CRI,94.09780776,success,GAUL_CODE,1004053,gadm_36_ad2
436,pernambuco,buenosaires,buenosaires,Costa Rica,CRI,101.4962594,success,GAUL_CODE,2006053,gadm_36_ad2
437,guanacaste,carrillo,carrillo,Costa Rica,CRI,72.04142012,success,GAUL_CODE,4003053,gadm_36_ad2
438,valledelcauca,cartago,cartago,Costa Rica,CRI,103.9960533,success,GAUL_CODE,2002053,gadm_36_ad2
439,puntarenas,corredores,corredores,Costa Rica,CRI,105.7909605,success,GAUL_CODE,3006053,gadm_36_ad2
440,puntarenas,cotobrus,cotobrus,Costa Rica,CRI,92.31788079,success,GAUL_CODE,4006053,gadm_36_ad2
441,sanjose,curridabat,curridabat,Costa Rica,CRI,88.15920398,success,GAUL_CODE,4007053,gadm_36_ad2
442,sanjose,desamparados,desamparados,Costa Rica,CRI,91.69100941,success,GAUL_CODE,5007053,gadm_36_ad2
443,sanjose,dota,dota,Costa Rica,CRI,79.83870968,success,GAUL_CODE,6007053,gadm_36_ad2
444,cartago,elguarco,elguarco,Costa Rica,CRI,91.59292035,success,GAUL_CODE,3002053,gadm_36_ad2
