Country,loc_id,parent_id,level,loc_nm_sh,spr_reg_id,region_id,ihme_lc_id,GAUL_CODE,phase
Syria,153,138,3,Syria,137,138,SYR,238,2
Tajikistan,39,32,3,Tajikistan,31,32,TJK,239,2
Tanzania,189,174,3,Tanzania,166,174,TZA,257,1
Thailand,18,9,3,Thailand,4,9,THA,240,2
The Gambia,206,199,3,Gambia,166,199,GMB,90,1
Timor-Leste,19,9,3,Timor-Leste,4,9,TLS,242,2
Togo,218,199,3,Togo,166,199,TGO,243,1
Tonga,29,21,3,Tonga,4,21,TON,245,2
Tunisia,154,138,3,Tunisia,137,138,TUN,248,1
Turkmenistan,40,32,3,Turkmenistan,31,32,TKM,250,2
Uganda,190,174,3,Uganda,166,174,UGA,253,1
Ukraine,63,56,3,Ukraine,31,56,UKR,254,2
Uruguay,99,96,3,Uruguay,64,96,URY,260,2
Uzbekistan,41,32,3,Uzbekistan,31,32,UZB,261,2
Vanuatu,30,21,3,Vanuatu,4,21,VUT,262,2
Venezuela,133,124,3,Venezuela,103,124,VEN,263,2
Vietnam,20,9,3,Vietnam,4,9,VNM,264,2
West Bank and Gaza,NA,NA,NA,NA,NA,NA,NA,267,2
Western Sahara,NA,NA,NA,NA,NA,NA,NA,268,1
Yemen,157,138,3,Yemen,137,138,YEM,269,2
Zambia,191,174,3,Zambia,166,174,ZMB,270,1
Zimbabwe,198,192,3,Zimbabwe,166,192,ZWE,271,1
