,NAME,NAME.who,NAME.shpfile,iso3.x,who_coverage,who_coverage.x,who_coverage.y,merge_status,merge_status.x,merge_status.y,GAUL_CODE,GAUL_CODE.x,GAUL_CODE.y
243,manga,manga,NA,BFA,83.1675534,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
244,mangodara,mangodara,NA,BFA,133.7202813,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
245,manni,manni,NA,BFA,111.0688428,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
246,nanoro,nanoro,NA,BFA,107.0170244,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
247,ndorola,ndorola,NA,BFA,113.6657247,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
248,nongrmassom,nongrmassom,NA,BFA,115.926281,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
249,nouna,nouna,NA,BFA,101.9433911,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
250,orodara,orodara,NA,BFA,101.0547523,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
251,ouahigouya,ouahigouya,NA,BFA,110.3343925,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
252,ouargaye,ouargaye,NA,BFA,97.4507298,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
253,pama,pama,NA,BFA,97.71123403,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
254,po,po,NA,BFA,99.03004495,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
255,pouytenga,pouytenga,NA,BFA,96.46319965,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
256,reo,reo,NA,BFA,106.5916198,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
257,sabou,sabou,NA,BFA,95.86134454,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
258,sapone,sapone,NA,BFA,91.8134458,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
259,sapouy,sapouy,NA,BFA,108.5799701,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
260,sebba,sebba,NA,BFA,110.2063457,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
261,seguenega,seguenega,NA,BFA,103.9716172,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
262,signoghin,signoghin,NA,BFA,128.9488966,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
263,sindou,sindou,NA,BFA,110.2031101,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
264,solenzo,solenzo,NA,BFA,90.00759092,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
265,tenado,tenado,NA,BFA,104.0382572,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
266,tenkodogo,tenkodogo,NA,BFA,97.90954774,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
267,thiou,thiou,NA,BFA,113.4997316,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
268,titao,titao,NA,BFA,110.0881003,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
269,toma,toma,NA,BFA,104.9432739,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
270,tougan,tougan,NA,BFA,90.95081399,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
271,tougouri,tougouri,NA,BFA,98.25436409,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
272,yako,yako,NA,BFA,101.2560113,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
