,iso3,Country_who,Country_mbg,Region,,,,,,,,
106,SYC,Seychelles,Seychelles,,,,,,,,,
107,SYR,NA,Syria,n,,,,,,,,
108,TCD,Chad,Chad,,,,,,,,,
109,TGO,Togo,Togo,,,,,,,,,
111,TJK,NA,Tajikistan,n,,,,,,,,
110,THA,NA,Thailand,n,,,,,,,,
113,TLS,NA,Timor-Leste,n,,,,,,,,
114,TON,NA,Tonga,n,,,,,,,,
115,TUN,NA,Tunisia,n,,,,,,,,
112,TKM,NA,Turkmenistan,n,,,,,,,,
116,TZA,Tanzania,Tanzania,,,,,,,,,
117,UGA,Uganda,Uganda,,,,,,,,,
118,UKR,NA,Ukraine,n,,,,,,,,
119,URY,NA,Uruguay,n,,,,,,,,
120,UZB,NA,Uzbekistan,n,,,,,,,,
124,VUT,NA,Vanuatu,n,,,,,,,,
122,VEN,NA,Venezuela,n,,,,,,,,
123,VNM,NA,Vietnam,n,,,,,,,,
2,NA,NA,West Bank and Gaza,n,,,,,,,,
126,YEM,NA,Yemen,n,,,,,,,,
3,,,,,,,,,,,,
127,ZAF,South Africa,South Africa,,,,,,,,,
128,ZMB,Zambia,Zambia,,,,,,,,,
129,ZWE,Zimbabwe,Zimbabwe,,,,,,,,,
