,ADM1_NAME,ADM2_NAME,iso3,ADM0_NAME.x,year,vaccine,GAUL_CODE,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.shpfile,who_coverage,Note
62,luanda,viana,AGO,Angola,2016,DTP3,1985,success,NA,NA,viana,NA,61,
63,lundanorte,cambulo,AGO,Angola,2016,DTP3,1986,success,NA,NA,cambulo,NA,99,
64,lundanorte,caungula,AGO,Angola,2016,DTP3,1988,success,NA,NA,caungula,NA,76,
65,lundanorte,chitato,AGO,Angola,2016,DTP3,1989,success,NA,NA,chitato,NA,83,
66,lundanorte,cuango,AGO,Angola,2016,DTP3,1990,success,NA,NA,cuango,NA,116,
67,lundanorte,cuilo,AGO,Angola,2016,DTP3,1991,success,NA,NA,cuilo,NA,54,
68,lundanorte,lubalo,AGO,Angola,2016,DTP3,1992,success,NA,NA,lubalo,NA,95,
69,lundanorte,lucapa,AGO,Angola,2016,DTP3,1993,success,NA,NA,lucapa,NA,118,
70,lundasul,cacolo,AGO,Angola,2016,DTP3,1995,success,NA,NA,cacolo,NA,146,
71,lundasul,dala,AGO,Angola,2016,DTP3,1996,success,NA,NA,dala,NA,91,
72,lundasul,muconda,AGO,Angola,2016,DTP3,1997,success,NA,NA,muconda,NA,93,
73,lundasul,saurimo,AGO,Angola,2016,DTP3,1998,success,NA,NA,saurimo,NA,90,
74,malanje,calandula,AGO,Angola,2016,DTP3,2000,success,NA,NA,calandula,NA,71,
75,malanje,cambundicatembo,AGO,Angola,2016,DTP3,2001,success,NA,NA,cambundicatembo,NA,37,
76,malanje,cangandala,AGO,Angola,2016,DTP3,2002,success,NA,NA,cangandala,NA,107,
77,malanje,luquembo,AGO,Angola,2016,DTP3,2006,success,NA,NA,luquembo,NA,74,
78,malanje,malanje,AGO,Angola,2016,DTP3,2007,success,NA,NA,malanje,NA,151,
79,malanje,marimba,AGO,Angola,2016,DTP3,2008,success,NA,NA,marimba,NA,50,
80,malanje,massango,AGO,Angola,2016,DTP3,2009,success,NA,NA,massango,NA,8,
81,malanje,quela,AGO,Angola,2016,DTP3,2011,success,NA,NA,quela,NA,61,
82,malanje,quirima,AGO,Angola,2016,DTP3,2012,success,NA,NA,quirima,NA,57,
