,ADM1_NAME,ADM2_NAME,iso3.x,vaccine,ADM0_NAME.x,who_coverage,GAUL_CODE,merge_status,ADM1_NAME.x,ADM2_NAME.who,ADM1_NAME.y,ADM2_NAME.shpfile
55,gitega,gitega,BDI,DTP3,Burundi,108.9171679,10643,success,NA,gitega,NA,NA
56,gitega,mutaho,BDI,DTP3,Burundi,98.20523247,10646,success,NA,mutaho,NA,NA
57,gitega,ryansoro,BDI,DTP3,Burundi,93.18909078,10648,success,NA,ryansoro,NA,NA
58,kayanza,gahombo,BDI,DTP3,Burundi,86.51434118,10657,success,NA,gahombo,NA,NA
59,kayanza,kayanza,BDI,DTP3,Burundi,100.1926331,10660,success,NA,kayanza,NA,NA
60,kirundo,busoni,BDI,DTP3,Burundi,100.2635107,10666,success,NA,busoni,NA,NA
61,kirundo,kirundo,BDI,DTP3,Burundi,105.3641056,10669,success,NA,kirundo,NA,NA
62,kirundo,vumbi,BDI,DTP3,Burundi,105.8973488,10671,success,NA,vumbi,NA,NA
63,makamba,makamba,BDI,DTP3,Burundi,99.77631794,10676,success,NA,makamba,NA,NA
64,makamba,nyanzalac,BDI,DTP3,Burundi,104.8318522,10677,success,NA,nyanzalac,NA,NA
65,muyinga,gashoho,BDI,DTP3,Burundi,126.6156018,10686,success,NA,gashoho,NA,NA
66,muyinga,giteranyi,BDI,DTP3,Burundi,92.40001539,10688,success,NA,giteranyi,NA,NA
67,muyinga,muyinga,BDI,DTP3,Burundi,119.5315703,10689,success,NA,muyinga,NA,NA
68,ngozi,kiremba,BDI,DTP3,Burundi,97.37927791,10699,success,NA,kiremba,NA,NA
69,ngozi,ngozi,BDI,DTP3,Burundi,95.45058535,10702,success,NA,ngozi,NA,NA
70,rutana,rutana,BDI,DTP3,Burundi,97.24690282,10711,success,NA,rutana,NA,NA
71,ruyigi,butezi,BDI,DTP3,Burundi,102.3641824,10713,success,NA,butezi,NA,NA
72,ruyigi,kinyinya,BDI,DTP3,Burundi,111.8506338,10716,success,NA,kinyinya,NA,NA
73,ruyigi,ruyigi,BDI,DTP3,Burundi,112.0505391,10718,success,NA,ruyigi,NA,NA
74,NA,NA,BDI,DTP3,Burundi,108.5213757,NA,fuzzy need fix,karusi,buhiga,karuzi,buhiga
75,NA,NA,BDI,DTP3,Burundi,108.5213757,NA,fuzzy need fix,karusi,buhiga,ngozi,busiga
76,NA,NA,BDI,DTP3,Burundi,84.45801642,NA,fuzzy need fix,muramya,kiganda,cankuzo,kigamba
77,NA,NA,BDI,DTP3,Burundi,84.45801642,NA,fuzzy need fix,muramya,kiganda,cibitoke,buganda
78,NA,NA,BDI,DTP3,Burundi,84.45801642,NA,fuzzy need fix,muramya,kiganda,muramvya,kiganda
79,NA,NA,BDI,DTP3,Burundi,84.35458825,NA,fuzzy need fix,ngozi,buye,muramvya,bukeye
