OBJECTID,WHO_REGION,ISO_2_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,STARTDATE,ENDDATE,ISO_3_CODE,WHO_CODE,ADM3_ALTNA,ADM3_ALTCO,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,ADM3_VIZ_N,ADM2_VIZ_N,ADM1_VIZ_N,GUID,ADM2_GUID,ADM1_GUID,ADM0_GUID,NOTES,GlobalID,Shape_Leng,Shape_Area
11,AFRO,GN,MISSAMANA,KANKAN,KANKAN,GUINEA,GN001004001009000000,GN001004001000000000,GN001004000000000000,GN001000000000000000,1/1/2000,12/31/9999,GIN,GUI,,,3,Member state,324,WCARO,-8.95021468000,10.24245220000,Missamana,Kankan,Kankan,{1A9092B8-22A9-4BA9-9EF8-8BA17E0CA72A},{6B598816-7B2E-4A23-82BC-A2FB71A01E39},{F4A65CE5-DE5C-458C-89D2-9A9948436620},{3740A605-5160-4F27-BD0D-D8F08466011A},,{1904152B-D459-4F72-994B-47D4CB114704},1.47169665958,0.09595774547
12,AFRO,GN,MISSIRA,KOUBIA,LABE,GUINEA,GN001006001005000000,GN001006001000000000,GN001006000000000000,GN001000000000000000,1/1/2000,12/31/9999,GIN,GUI,,,3,Member state,324,WCARO,-11.97097636000,11.46932245000,Missira,Koubia,Labe,{581D1D36-0127-4319-B140-83E1B9E3ABC2},{D29375BE-9AA5-4EB6-B335-84CAACC206C6},{8C1432DB-20F7-4B43-A09A-F370CA3EEC0C},{3740A605-5160-4F27-BD0D-D8F08466011A},,{0CC43A85-AE0F-4599-9E3E-59437A6DC7B6},0.75241944091,0.02923369299
13,AFRO,LR,PANTA,BONG,BONG,LIBERIA,LR001002001006000000,LR001002001000000000,LR001002000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.20153608000,7.21256591000,Panta,Bong,Bong,{7286AF6D-FE85-4D0A-98E1-A24CDA648BF2},{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},{D52205B7-1D9F-404D-AB14-95757A1B6579},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{4E470569-80E7-4C36-8363-15A66F37C6E6},1.05120441748,0.03739613657
14,AFRO,LR,SALALA,BONG,BONG,LIBERIA,LR001002001007000000,LR001002001000000000,LR001002000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.98103652000,6.77787144000,Salala,Bong,Bong,{AB959F1A-A90A-4EF7-932E-7236293EEE8A},{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},{D52205B7-1D9F-404D-AB14-95757A1B6579},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{B111C5B2-508F-4D0F-9DBD-3915E3EB778D},1.43354133954,0.07253134834
15,AFRO,LR,SANOYEAH,BONG,BONG,LIBERIA,LR001002001008000000,LR001002001000000000,LR001002000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.90168351000,7.03698805000,Sanoyeah,Bong,Bong,{06926B1C-CE2F-46DA-9452-8985E6B192FD},{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},{D52205B7-1D9F-404D-AB14-95757A1B6579},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{03DC7136-E148-4D43-B98D-E21254BBD7A5},1.62415751319,0.09017952714
16,AFRO,LR,SUAKOKO,BONG,BONG,LIBERIA,LR001002001009000000,LR001002001000000000,LR001002000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.59622799000,7.07357815000,Suakoko,Bong,Bong,{AA574BA1-2941-4E61-9FAA-B416A55DB5C0},{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},{D52205B7-1D9F-404D-AB14-95757A1B6579},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{0B38E1D6-46F5-46D8-B981-B8EE4C10B687},1.23305797014,0.05088565614
17,AFRO,LR,TUKPAHBLEE,BONG,BONG,LIBERIA,LR001002001010000000,LR001002001000000000,LR001002000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.41802412000,6.63711612000,Tukpahblee,Bong,Bong,{6DF75B79-5706-48CB-8880-D1C87C5832E5},{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},{D52205B7-1D9F-404D-AB14-95757A1B6579},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{4D50609E-8F72-41C2-A57C-F3716C05DBA5},0.81634555809,0.03024686364
18,AFRO,LR,YEALLEQUELLEH,BONG,BONG,LIBERIA,LR001002001011000000,LR001002001000000000,LR001002000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.68618350000,6.82895468000,Yeallequelleh,Bong,Bong,{5159CD95-90D8-4D9C-9D5D-FBC52C2B0D95},{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},{D52205B7-1D9F-404D-AB14-95757A1B6579},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{DFDD0579-11F5-4D95-8034-7F539585A9F5},1.48839211428,0.08049257244
19,AFRO,LR,ZOTA,BONG,BONG,LIBERIA,LR001002001012000000,LR001002001000000000,LR001002000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.41101948000,7.27565058000,Zota,Bong,Bong,{1DF578FE-ECE0-4D2A-8391-8B627FE8CC08},{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},{D52205B7-1D9F-404D-AB14-95757A1B6579},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{0F53407F-D58B-40D8-9751-09B8FA08DADB},1.46724004664,0.06841543314
20,AFRO,LR,BELLEH,GBARPOLU,GBARPOLU,LIBERIA,LR001003001001000000,LR001003001000000000,LR001003000000000000,LR001000000000000000,1/1/2000,12/31/9999,LBR,LIB,,,3,Member state,430,WCARO,-9.96624735000,7.53792121000,Belleh,Gbarpolu,Gbarpolu,{B71AB94C-3591-475A-A13B-EC2C0E7A4F95},{89E1F760-5834-425B-9E5C-AAA3CEAB09DD},{321E5E4E-2059-475A-9AD7-E5038CE15E18},{78DBDF5D-226B-4BE4-B853-5A58D9DA21A6},,{8DA3E7A0-C8C8-4E29-B3A4-F9CACC8324F6},2.18977499578,0.19512285881
