,V1,ADM1_NAME,ADM2_NAME,iso3,ADM0_NAME.x,year,vaccine,GAUL_CODE,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.shpfile,who_coverage,Note,V16,V17,V18,V19
48,48,huambo,catchiungo,AGO,Angola,2016,DTP3,1968,success,NA,NA,catchiungo,NA,93,,NA,NA,NA,NA
49,49,huambo,huambo,AGO,Angola,2016,DTP3,1970,success,NA,NA,huambo,NA,122,,NA,NA,NA,NA
50,50,huambo,londuimbale,AGO,Angola,2016,DTP3,1971,success,NA,NA,londuimbale,NA,100,,NA,NA,NA,NA
51,51,huambo,longonjo,AGO,Angola,2016,DTP3,1972,success,NA,NA,longonjo,NA,177,,NA,NA,NA,NA
52,52,huambo,mungo,AGO,Angola,2016,DTP3,1973,success,NA,NA,mungo,NA,85,,NA,NA,NA,NA
53,53,huambo,ukuma,AGO,Angola,2016,DTP3,1976,success,NA,NA,ukuma,NA,107,,NA,NA,NA,NA
54,54,luanda,cacuaco,AGO,Angola,2016,DTP3,1977,success,NA,NA,cacuaco,NA,65,,NA,NA,NA,NA
55,55,luanda,cazenga,AGO,Angola,2016,DTP3,1978,success,NA,NA,cazenga,NA,71,,NA,NA,NA,NA
56,56,luanda,ingombota,AGO,Angola,2016,DTP3,1979,success,NA,NA,ingombota,NA,131,,NA,NA,NA,NA
57,57,luanda,kilambakiaxi,AGO,Angola,2016,DTP3,1980,success,NA,NA,kilambakiaxi,NA,78,,NA,NA,NA,NA
58,58,luanda,maianga,AGO,Angola,2016,DTP3,1981,success,NA,NA,maianga,NA,80,,NA,NA,NA,NA
59,59,luanda,rangel,AGO,Angola,2016,DTP3,1982,success,NA,NA,rangel,NA,142,,NA,NA,NA,NA
60,60,luanda,samba,AGO,Angola,2016,DTP3,1983,success,NA,NA,samba,NA,135,,NA,NA,NA,NA
61,61,luanda,sambizanga,AGO,Angola,2016,DTP3,1984,success,NA,NA,sambizanga,NA,70,,NA,NA,NA,NA
62,62,luanda,viana,AGO,Angola,2016,DTP3,1985,success,NA,NA,viana,NA,61,,NA,NA,NA,NA
63,63,lundanorte,cambulo,AGO,Angola,2016,DTP3,1986,success,NA,NA,cambulo,NA,99,,NA,NA,NA,NA
64,64,lundanorte,caungula,AGO,Angola,2016,DTP3,1988,success,NA,NA,caungula,NA,76,,NA,NA,NA,NA
65,65,lundanorte,chitato,AGO,Angola,2016,DTP3,1989,success,NA,NA,chitato,NA,83,,NA,NA,NA,NA
66,66,lundanorte,cuango,AGO,Angola,2016,DTP3,1990,success,NA,NA,cuango,NA,116,,NA,NA,NA,NA
67,67,lundanorte,cuilo,AGO,Angola,2016,DTP3,1991,success,NA,NA,cuilo,NA,54,,NA,NA,NA,NA
68,68,lundanorte,lubalo,AGO,Angola,2016,DTP3,1992,success,NA,NA,lubalo,NA,95,,NA,NA,NA,NA
69,69,lundanorte,lucapa,AGO,Angola,2016,DTP3,1993,success,NA,NA,lucapa,NA,118,,NA,NA,NA,NA
70,70,lundasul,cacolo,AGO,Angola,2016,DTP3,1995,success,NA,NA,cacolo,NA,146,,NA,NA,NA,NA
71,71,lundasul,dala,AGO,Angola,2016,DTP3,1996,success,NA,NA,dala,NA,91,,NA,NA,NA,NA
72,72,lundasul,muconda,AGO,Angola,2016,DTP3,1997,success,NA,NA,muconda,NA,93,,NA,NA,NA,NA
73,73,lundasul,saurimo,AGO,Angola,2016,DTP3,1998,success,NA,NA,saurimo,NA,90,,NA,NA,NA,NA
74,74,malanje,calandula,AGO,Angola,2016,DTP3,2000,success,NA,NA,calandula,NA,71,,NA,NA,NA,NA
75,75,malanje,cambundicatembo,AGO,Angola,2016,DTP3,2001,success,NA,NA,cambundicatembo,NA,37,,NA,NA,NA,NA
76,76,malanje,cangandala,AGO,Angola,2016,DTP3,2002,success,NA,NA,cangandala,NA,107,,NA,NA,NA,NA
77,77,malanje,luquembo,AGO,Angola,2016,DTP3,2006,success,NA,NA,luquembo,NA,74,,NA,NA,NA,NA
78,78,malanje,malanje,AGO,Angola,2016,DTP3,2007,success,NA,NA,malanje,NA,151,,NA,NA,NA,NA
79,79,malanje,marimba,AGO,Angola,2016,DTP3,2008,success,NA,NA,marimba,NA,50,,NA,NA,NA,NA
80,80,malanje,massango,AGO,Angola,2016,DTP3,2009,success,NA,NA,massango,NA,8,,NA,NA,NA,NA
81,81,malanje,quela,AGO,Angola,2016,DTP3,2011,success,NA,NA,quela,NA,61,,NA,NA,NA,NA
82,82,malanje,quirima,AGO,Angola,2016,DTP3,2012,success,NA,NA,quirima,NA,57,,NA,NA,NA,NA
83,83,moxico,altozambeze,AGO,Angola,2016,DTP3,2013,success,NA,NA,altozambeze,NA,410,,NA,NA,NA,NA
84,84,moxico,camanongue,AGO,Angola,2016,DTP3,2014,success,NA,NA,camanongue,NA,121,,NA,NA,NA,NA
85,85,moxico,luau,AGO,Angola,2016,DTP3,2017,success,NA,NA,luau,NA,59,,NA,NA,NA,NA
86,86,moxico,luchazes,AGO,Angola,2016,DTP3,2019,success,NA,NA,luchazes,NA,11,,NA,NA,NA,NA
87,87,moxico,lumbalanguimbo,AGO,Angola,2016,DTP3,2020,success,NA,NA,lumbalanguimbo,NA,315,,NA,NA,NA,NA
88,88,namibe,bibala,AGO,Angola,2016,DTP3,2022,success,NA,NA,bibala,NA,35,,NA,NA,NA,NA
89,89,namibe,namibe,AGO,Angola,2016,DTP3,2024,success,NA,NA,namibe,NA,50,,NA,NA,NA,NA
90,90,namibe,virei,AGO,Angola,2016,DTP3,2026,success,NA,NA,virei,NA,70,,NA,NA,NA,NA
91,91,zaire,cuimba,AGO,Angola,2016,DTP3,2043,success,NA,NA,cuimba,NA,39,,NA,NA,NA,NA
92,92,zaire,mbanzacongo,AGO,Angola,2016,DTP3,2044,success,NA,NA,mbanzacongo,NA,61,,NA,NA,NA,NA
93,93,zaire,noqui,AGO,Angola,2016,DTP3,2046,success,NA,NA,noqui,NA,87,,NA,NA,NA,NA
94,94,zaire,nzeto,AGO,Angola,2016,DTP3,2045,success,NA,NA,nzeto,NA,60,,NA,NA,NA,NA
95,95,zaire,soyo,AGO,Angola,2016,DTP3,2047,success,NA,NA,soyo,NA,61,,NA,NA,NA,NA
96,96,zaire,tomboco,AGO,Angola,2016,DTP3,2048,success,NA,NA,tomboco,NA,63,,NA,NA,NA,NA
97,97,NA,NA,AGO,Angola,2016,NA,1901,fuzzy need fix,bie,bi,camacupa,camacupa,57,,NA,NA,NA,NA
98,98,NA,NA,AGO,Angola,2016,NA,1967,fuzzy need fix,huambo,huambo,caala,caila,116,,NA,NA,NA,NA
99,99,NA,NA,AGO,Angola,2016,NA,1953,fuzzy need fix,huila,hula,caconda,caconda,88,,NA,NA,NA,NA
100,100,NA,NA,AGO,Angola,2016,NA,1967,need change,huila,huambo,cacula,caila,139,change,NA,NA,NA,NA
101,101,NA,NA,AGO,Angola,2016,NA,1999,need change,huila,malanje,cacula,cacuzo,139,change,NA,NA,NA,NA
102,102,NA,NA,AGO,Angola,2016,NA,1961,fuzzy need fix,huila,hula,cuvango,kuvango,54,,NA,NA,NA,NA
103,103,NA,NA,AGO,Angola,2016,NA,1958,fuzzy need fix,huila,hula,gambos,gambos,76,,NA,NA,NA,NA
104,104,NA,NA,AGO,Angola,2016,NA,1960,fuzzy need fix,huila,hula,jamba,jamba,103,,NA,NA,NA,NA
105,105,NA,NA,AGO,Angola,2016,NA,1962,fuzzy need fix,huila,hula,lubango,lubango,73,,NA,NA,NA,NA
106,106,NA,NA,AGO,Angola,2016,NA,2031,fuzzy need fix,uige,uge,bungo,bungo,115,,NA,NA,NA,NA
107,107,NA,NA,AGO,Angola,2016,NA,2032,fuzzy need fix,uige,uge,damba,damba,123,,NA,NA,NA,NA
108,108,NA,NA,AGO,Angola,2016,NA,2035,fuzzy need fix,uige,uge,mucaba,mucaba,85,,NA,NA,NA,NA
109,109,NA,NA,AGO,Angola,2016,NA,2041,fuzzy need fix,uige,uge,songo,songo,123,,NA,NA,NA,NA
110,110,NA,NA,AGO,Angola,2016,NA,1925,fuzzy success,bengo,cuanzanorte,bulaatumba,bulaatumba,107,,NA,NA,NA,NA
111,111,NA,NA,AGO,Angola,2016,NA,1932,fuzzy success,bengo,cuanzanorte,pangoaluquem,pangoaluqum,122,,NA,NA,NA,NA
112,112,NA,NA,AGO,Angola,2016,NA,1891,fuzzy success,benguela,benguela,baiafarta,baafarta,111,,NA,NA,NA,NA
113,113,NA,NA,AGO,Angola,2016,NA,1895,fuzzy success,benguela,benguela,caimbambo,caiambambo,56,,NA,NA,NA,NA
114,114,NA,NA,AGO,Angola,2016,NA,1900,fuzzy success,bie,bi,andulo,andulo,90,,NA,NA,NA,NA
115,115,NA,NA,AGO,Angola,2016,NA,1902,fuzzy success,bie,bi,catabola,catabola,65,,NA,NA,NA,NA
116,116,NA,NA,AGO,Angola,2016,NA,1903,fuzzy success,bie,bi,chinguar,chinguar,97,,NA,NA,NA,NA
