OBJECTID,WHO_REGION,ISO_2_CODE,ADM4_NAME,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM4_CODE,ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,STARTDATE,ENDDATE,ISO_3_CODE,WHO_CODE,ADM4_ALTNA,ADM3_ALTCO,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,ADM4_VIZ_N,ADM3_VIZ_N,ADM2_VIZ_N,ADM1_VIZ_N,GUID,ADM3_GUID,ADM2_GUID,ADM1_GUID,ADM0_GUID,NOTES,GlobalID,Shape_Leng,Shape_Area
300,AFRO,SL,JASSENDE KPEIMA,KPAKA,PUJEHUN,SOUTHERN,SIERRA LEONE,SL001003004003001000,SL001003004003000000,SL001003004000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.59764413000,7.04596950000,Jassende Kpeima,Kpaka,Pujehun,Southern,{17F1E8F6-B830-465C-9375-D0CA053057F5},{AE62B9DB-FF93-41AB-976A-EF80F5563B64},{5897C1E2-657A-4ABE-A2D0-D58CA9BED62F},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{C9530F62-35EA-4936-A8EC-D382CD9F94E1},0.31066138308,0.00357654093
301,AFRO,SL,MASSA SETTIE,KWAMEBAI KRIM,BONTHE,SOUTHERN,SIERRA LEONE,SL001003002008003000,SL001003002008000000,SL001003002000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-11.97471581000,7.22342018000,Massa Settie,Kwamebai Krim,Bonthe,Southern,{D6A128FA-0676-4866-B6FF-3F3335E69669},{E582D402-EC4F-4772-BC2A-A58903831FDF},{455002AC-6855-4BA2-9957-4CE860800E67},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{37DFDDF6-C895-43B2-9382-834599BFB47C},0.21627197332,0.00297435008
302,AFRO,SL,BOHOL,NONGOBA BULLOM,BONTHE,SOUTHERN,SIERRA LEONE,SL001003002009002000,SL001003002009000000,SL001003002000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-12.45551030000,7.39575223000,Bohol,Nongoba Bullom,Bonthe,Southern,{7CA13F6E-1B8C-4EE5-B70F-7F8386BAAE5C},{60261751-AB42-4814-8EBC-C31A0CCFF521},{455002AC-6855-4BA2-9957-4CE860800E67},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{EBF2E1CC-B82C-4C23-AD1F-76E93353DC4F},0.37648902834,0.00279075394
303,AFRO,SL,BULLOM,NONGOBA BULLOM,BONTHE,SOUTHERN,SIERRA LEONE,SL001003002009003000,SL001003002009000000,SL001003002000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-12.29961474000,7.40334097000,Bullom,Nongoba Bullom,Bonthe,Southern,{0F6BAF64-0919-4470-A6F7-F352CA749CA1},{60261751-AB42-4814-8EBC-C31A0CCFF521},{455002AC-6855-4BA2-9957-4CE860800E67},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{BC41F0DA-B0BA-4C65-AA39-F164069C7E7A},0.32618570612,0.00369799700
304,AFRO,SL,GARINGA,NONGOBA BULLOM,BONTHE,SOUTHERN,SIERRA LEONE,SL001003002009004000,SL001003002009000000,SL001003002000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-12.36655322000,7.37248107000,Garinga,Nongoba Bullom,Bonthe,Southern,{AE572A9E-2397-4662-82D9-3133384F278D},{60261751-AB42-4814-8EBC-C31A0CCFF521},{455002AC-6855-4BA2-9957-4CE860800E67},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{9ACED740-6A97-4D75-A83B-A501E1939B3F},0.40275684416,0.00629068048
305,AFRO,SL,KESSIE,NONGOBA BULLOM,BONTHE,SOUTHERN,SIERRA LEONE,SL001003002009008000,SL001003002009000000,SL001003002000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-12.11464983000,7.28640281000,Kessie,Nongoba Bullom,Bonthe,Southern,{CCACDEFF-2AC8-4A84-93BE-7B5DA2511E67},{60261751-AB42-4814-8EBC-C31A0CCFF521},{455002AC-6855-4BA2-9957-4CE860800E67},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{21F71930-9287-47A4-82E8-E63314537A9A},0.27507547204,0.00372755328
306,AFRO,SL,KENAFALLAY,UPPER BANTA,MOYAMBA,SOUTHERN,SIERRA LEONE,SL001003003014002000,SL001003003014000000,SL001003003000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-12.22867590000,7.75245969000,Kenafallay,Upper Banta,Moyamba,Southern,{5C4A369F-0AF8-49F6-A396-8B050FA91B3C},{170B3AE0-DF0E-49CC-8FA5-FB22F8FAE095},{87625F44-EB55-4AC4-844D-648DEFD661FC},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{2D6CA9F9-DA34-41A0-AD9B-C265D16E4CBE},0.25924943760,0.00284880393
307,AFRO,SL,KEPAY,UPPER BANTA,MOYAMBA,SOUTHERN,SIERRA LEONE,SL001003003014003000,SL001003003014000000,SL001003003000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-12.16674172000,7.77918997000,Kepay,Upper Banta,Moyamba,Southern,{230209AE-0E58-4490-A72C-05179996D584},{170B3AE0-DF0E-49CC-8FA5-FB22F8FAE095},{87625F44-EB55-4AC4-844D-648DEFD661FC},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{EA846008-8B7A-4C69-8245-1E043DA680EE},0.21562474376,0.00257586734
308,AFRO,SL,MOGONGBE,UPPER BANTA,MOYAMBA,SOUTHERN,SIERRA LEONE,SL001003003014004000,SL001003003014000000,SL001003003000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-12.13214859000,7.69423507000,Mogongbe,Upper Banta,Moyamba,Southern,{390E9994-5783-4EF3-BE1F-082F72342394},{170B3AE0-DF0E-49CC-8FA5-FB22F8FAE095},{87625F44-EB55-4AC4-844D-648DEFD661FC},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{5D77E7EA-7549-49AC-91FD-01FFF3D27E78},0.21250096219,0.00250641839
309,AFRO,SL,SONGBO,UPPER BANTA,MOYAMBA,SOUTHERN,SIERRA LEONE,SL001003003014005000,SL001003003014000000,SL001003003000000000,SL001003000000000000,SL001000000000000000,1/1/2000,12/31/9999,SLE,SIL,,,4,Member state,694,WCARO,-12.21007264000,7.70084940000,Songbo,Upper Banta,Moyamba,Southern,{F3B045E5-EFAA-4021-A397-6819395C7140},{170B3AE0-DF0E-49CC-8FA5-FB22F8FAE095},{87625F44-EB55-4AC4-844D-648DEFD661FC},{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},{E1CD65EA-4261-4A92-A8AF-1709465C2CD3},,{DE4F7DB4-DE73-41CF-803C-CEB16B0E85ED},0.35610377170,0.00389753991
