"","NAME","NAME.who","NAME.shpfile","iso3","iso3.x","iso3.y","who_coverage","who_coverage.x","who_coverage.y","merge_status","merge_status.x","merge_status.y","GAUL_CODE","GAUL_CODE.x","GAUL_CODE.y"
"101","darimu","darimu",NA,"ETH",NA,NA,91.49980273,NA,NA,"success",NA,NA,475,NA,NA
"102","dawekachen","dawekachen",NA,"ETH",NA,NA,124.5622383,NA,NA,"success",NA,NA,524,NA,NA
"103","dawo","dawo",NA,"ETH",NA,NA,97.40159022,NA,NA,"success",NA,NA,461,NA,NA
"104","dawunt","dawunt",NA,"ETH",NA,NA,106.8352552,NA,NA,"success",NA,NA,233,NA,NA
"105","debreelias","debreelias",NA,"ETH",NA,NA,98.77659086,NA,NA,"success",NA,NA,266,NA,NA
"106","debrelibanos","debrelibanos",NA,"ETH",NA,NA,59.54504668,NA,NA,"success",NA,NA,573,NA,NA
"107","debretabortown","debretabortown",NA,"ETH",NA,NA,36.08458114,NA,NA,"success",NA,NA,293,NA,NA
"108","debubachefer","debubachefer",NA,"ETH",NA,NA,109.4026056,NA,NA,"success",NA,NA,254,NA,NA
"109","decha","decha",NA,"ETH",NA,NA,101.0663264,NA,NA,"success",NA,NA,96,NA,NA
"110","dedertown","dedertown",NA,"ETH",NA,NA,169.8530567,NA,NA,"success",NA,NA,429,NA,NA
"111","dedo","dedo",NA,"ETH",NA,NA,105.6874617,NA,NA,"success",NA,NA,520,NA,NA
"112","degadamot","degadamot",NA,"ETH",NA,NA,107.1478682,NA,NA,"success",NA,NA,237,NA,NA
"113","degem","degem",NA,"ETH",NA,NA,84.85346739,NA,NA,"success",NA,NA,404,NA,NA
"114","dehana","dehana",NA,"ETH",NA,NA,106.149724,NA,NA,"success",NA,NA,238,NA,NA
"115","dejen","dejen",NA,"ETH",NA,NA,92.71811628,NA,NA,"success",NA,NA,727,NA,NA
"116","delanta","delanta",NA,"ETH",NA,NA,81.81147826,NA,NA,"success",NA,NA,279,NA,NA
"117","dembecha","dembecha",NA,"ETH",NA,NA,105.7558083,NA,NA,"success",NA,NA,728,NA,NA
