"","countries","freq","V1","region","gaul_adm2","gadm_adm2","gaul_adm1","gadm_adm1","Unit match","Unit matchStatus","shapefile","Name matching"
"111","Swaziland",4,81,"Africa","8",7,100,100,"100","total match","","100%"
"112","Syria",NA,120,"world",NA,NA,NA,NA,NA,"no data","",""
"113","Tajikistan",6,86,"world","11",10,150,120,"120","poor match","",""
"114","Tanzania",194,89,"Africa","107",106,647,647,"106","ok match","gadm","on hold"
"115","Thailand",76,85,"world","9",8,100,99,"100","total match","","100%"
"116","The Gambia",NA,33,"Africa","19",19,117,117,"117","poor match","",""
"117","Timor-Leste",13,88,"world","20",21,100,100,"100","total match","","100%"
"118","Togo",40,84,"Africa","133",190,800,800,"133","poor match","",""
"119","Tonga",NA,121,"world",NA,NA,NA,NA,NA,"no data","",""
"120","total match",NA,NA,"","100%",NA,NA,NA,"","","",""
"121","Tunisia",NA,122,"world",NA,NA,NA,NA,NA,"no data","",""
"122","Turkmenistan",6,87,"world","100",100,100,100,"100","total match","","100%"
"123","Uganda",116,90,"Africa","68",70,104,200,"70","poor match","",""
"124","Ukraine",27,91,"world","108",4,108,100,"100","total match","gadm adm1","done/100%"
"125","Uruguay",NA,123,"world",NA,NA,NA,NA,NA,"no data","",""
"126","Uzbekistan",14,92,"world","7",9,100,100,"100","total match","","100%"
"127","Vanuatu",NA,126,"world",NA,NA,NA,NA,NA,"no data","",""
"128","Venezuela",335,93,"world","106",99,1340,1340,"99","ok match","gadm","done"
"129","Vietnam",NA,125,"world",NA,NA,NA,NA,NA,"no data","",""
"130","West Bank and Gaza",NA,113,"world",NA,NA,NA,NA,NA,"no data","",""
"131","Yemen",333,94,"world","100",100,1586,1586,"100","total match","","100%"
"132","Zambia",109,96,"Africa","151",151,1211,1090,"151","poor match","",""
"133","Zimbabwe",63,97,"Africa","102",105,630,630,"102","ok match","gaul","done/ 2 unmatched locations"
